"dissimilarity","exclusivity","var","D","I","rank.cor"
0.556678230717942,0.540147458568061,"bio1",0.503583018485958,0.792841120920157,-0.930791502660267
0.573224333206816,0.548139547336298,"bio10",0.511683428045879,0.799691512694971,-0.926586504792266
0.52858547012485,0.499441856835622,"bio11",0.512648455876115,0.796397359800048,-0.863940877092145
0.166513003895506,0.315416590518378,"bio12",0.877718289734008,0.983147043804051,0.81844524858296
0.354346672155159,0.299955729139711,"bio13",0.853181655864436,0.976067742220177,-0.245500102841141
0.15801004722947,0.292977475750786,"bio14",0.857625912697679,0.977827017111688,0.776180599656583
0.226694261213343,0.0692202512533017,"bio15",0.914926677208556,0.99057013369576,0.851864609734444
0.314147045683728,0.232022636688631,"bio16",0.870948355047579,0.981626325644056,-0.197641247488772
0.187039214187643,0.294921030202372,"bio17",0.82853771146056,0.970750380605311,0.752923695085374
0.316068332159844,0.386778887778124,"bio18",0.936171671116979,0.99259416389005,0.333072725407463
0.271228744629147,0.360847254425714,"bio19",0.810557609402487,0.964865686368762,0.222117061643734
0.286694058068897,0.0638350030786853,"bio2",0.807102676563031,0.974810412003687,-0.95036849758003
0.501828809858634,0.282272175102123,"bio3",0.65654133983831,0.91476150611831,-0.703619355556905
0.410024664689652,0.421496253016006,"bio4",0.648403676701463,0.886415604167563,-0.253917831391911
0.563632186075548,0.503401116574046,"bio5",0.531461954353659,0.834327354183883,-0.96979334691368
0.545811987992695,0.498553546718363,"bio6",0.523670246209919,0.814727756581441,-0.914231779916407
0.487093647918734,0.392639955817009,"bio7",0.646751555485615,0.895794025924183,-0.754473496533954
0.323493285326423,0.228071980242588,"bio8",0.71953464369452,0.936338151632722,-0.662599906510077
0.335463688401081,0.262963426230934,"bio9",0.574186352545207,0.841782427971473,-0.734817055864831
