"","dissimilarity","exclusivity","var","D","I","rank.cor"
"1",0.227411844403171,0.29581269740854,"AWC_DCP_0to200cm",0.922182171288324,0.995472637634899,-0.950904024201645
"2",0.209357554305771,0.0992585510413004,"AWS_WTA_0to200cm",0.86661013448838,0.987974569248535,-0.956198412423071
"3",0.00769756406364741,0.00209643605870014,"CaC03_DCP_0to200cm",0.969476341329696,0.998934610579465,0.977155982370899
"4",0.182055488711775,0.140795274747439,"Clay_DCP_0to200cm",0.899762228126977,0.989083794756388,-0.820571562832354
"5",0.107007084719763,0.0998647224221978,"Db3rdbar_DCP_0to200cm",0.946693556479363,0.998164862055409,-0.148415282532743
"6",0.261826879472689,0.3084380972866,"Dep2AnyRes_DCP",0.85605831883568,0.986773066976942,-0.996891354065074
"7",0.199584805370172,0.129303641356001,"Dep2WatTbl_DCP",0.943833933813389,0.996831666472663,-0.615567432809293
"8",0.523161959649444,0.497772401169546,"FrostFDays_DCP",0.669001883330062,0.895372556144913,-0.949524256118886
"9",0.186543992070251,0.0996833929919564,"LiqLim_DCP_0to200cm",0.916559060018145,0.992843932426719,-0.907637738155004
"10",0.479085065930114,0.475904581319452,"OrgMatter_DCP_0to200cm",0.826925137335108,0.976311011411635,-0.917298320095338
"11",0.0903223374903561,0.0413710257604977,"pHwater_DCP_0to200cm",0.928269277788519,0.994153794976085,0.593961941623351
"12",0.0377116762729808,0.00827150849266645,"Sand_DCP_0to200cm",0.962243850743773,0.9989266379856,-0.188031289828438
"13",0.146078417615017,0.0444398561480055,"Silt_DCP_0to200cm",0.915926091856644,0.994788190314023,0.0146929978509724
"14",0.204255139358988,0.104171253218739,"WC15Bar_DCP_0to200cm",0.879674423736575,0.98923971222392,-0.669554495954101
"15",0.1975109539764,0.166684109301568,"WC3rdbar_DCP_0to200cm",0.899545407920354,0.992816605757355,-0.83407500120803
